Kommune,E-Mail,Bundesland,Einwohner,,,,,,,,,,,,,,,,,
Mönchberg ,info@moenchberg.de,Bayern,2500,,,,,,,,,,,,,,,,,
Mönchsdeggingen ,gemeinde@moenchsdeggingen.de,Bayern,1443,,,,,,,,,,,,,,,,,
Mönchsroth ,gemeinde@moenchsroth.de,Bayern,1653,,,,,,,,,,,,,,,,,
Mörnsheim ,markt@moernsheim.de,Bayern,1569,,,,,,,,,,,,,,,,,
Möttingen ,gemeinde@moettingen.de,Bayern,2683,,,,,,,,,,,,,,,,,
Mötzing ,poststelle@vg-suenching.de,Bayern,1408,,,,,,,,,,,,,,,,,
Monheim ,poststelle@monheim-bayern.de,Bayern,5450,,,,,,,,,,,,,,,,,
Moorenweis ,poststelle@moorenweis.bayern.de,Bayern,4122,,,,,,,,,,,,,,,,,
Moos ,poststelle@vgem-moos.bayern.de,Bayern,3417,,,,,,,,,,,,,,,,,
Moosach ,kanzlei@moosach.info,Bayern,1418,,,,,,,,,,,,,,,,,
Moosbach ,markt@moosbach.de,Bayern,2473,,,,,,,,,,,,,,,,,
Moosburg a.d.Isar ,info@moosburg.de,Bayern,20012,,,,,,,,,,,,,,,,,
Moosinning ,poststelle@moosinning.de,Bayern,6083,,,,,,,,,,,,,,,,,
Moosthenning ,info@moosthenning.de,Bayern,5290,,,,,,,,,,,,,,,,,
Motten ,info@motten.de,Bayern,1718,,,,,,,,,,,,,,,,,
Mühldorf a.Inn ,stadtverwaltung@muehldorf.de,Bayern,22503,,,,,,,,,,,,,,,,,
Mühlhausen ,gemeinde@muehlhausen-sulz.de,Bayern,8753,,,,,,,,,,,,,,,,,
Mühlhausen ,poststelle@vg-hoechstadt.de,Bayern,8753,,,,,,,,,,,,,,,,,
Münchberg ,stadtverwaltung@muenchberg.de,Bayern,9969,,,,,,,,,,,,,,,,,
Münchsmünster ,gemeinde@muenchsmuenster.bayern.de,Bayern,3235,,,,,,,,,,,,,,,,,
Münchsteinach ,info@muenchsteinach.de,Bayern,1448,,,,,,,,,,,,,,,,,
Münnerstadt ,steuerung@muennerstadt.de,Bayern,7577,,,,,,,,,,,,,,,,,
Münsing ,info@muensing.de,Bayern,4373,,,,,,,,,,,,,,,,,
Münster ,info@gemeinde-muenster.de,Bayern,308258,,,,,,,,,,,,,,,,,
Münsterhausen ,markt@muensterhausen.de,Bayern,2019,,,,,,,,,,,,,,,,,
Muhr a.See ,gemeinde@muhr-am-see.de,Bayern,2441,,,,,,,,,,,,,,,,,
Munningen ,vg@oettingen.de,Bayern,1723,,,,,,,,,,,,,,,,,
Murnau a.Staffelsee ,rathaus@murnau.de,Bayern,11994,,,,,,,,,,,,,,,,,
Nabburg ,poststelle@vg-nabburg.de,Bayern,6276,,,,,,,,,,,,,,,,,
Nagel ,willkommen@erholungsort-nagel.de,Bayern,1655,,,,,,,,,,,,,,,,,
Naila ,mail@naila.de,Bayern,7482,,,,,,,,,,,,,,,,,
Nandlstadt ,info@markt-nandlstadt.de,Bayern,5635,,,,,,,,,,,,,,,,,
Nassenfels ,poststelle@nassenfels.de,Bayern,2348,,,,,,,,,,,,,,,,,
Nennslingen ,info@vg-nennslingen.de,Bayern,1437,,,,,,,,,,,,,,,,,
Nersingen ,poststelle@nersingen.de,Bayern,9827,,,,,,,,,,,,,,,,,
Nesselwang ,rathaus@nesselwang.bayern.de,Bayern,3789,,,,,,,,,,,,,,,,,
Neu-Ulm ,poststelle@neu-ulm.de,Bayern,62641,,,,,,,,,,,,,,,,,
Neubeuern ,rathaus@neubeuern.org,Bayern,4131,,,,,,,,,,,,,,,,,
Neubiberg ,gemeinde@neubiberg.de,Bayern,14329,,,,,,,,,,,,,,,,,
Neubrunn ,info@neubrunn.de,Bayern,2275,,,,,,,,,,,,,,,,,
Neuburg a.d.Donau ,stadt@neuburg-donau.de,Bayern,30135,,,,,,,,,,,,,,,,,
Neuburg a.d.Kammel ,info@neuburg-ka.de,Bayern,3260,,,,,,,,,,,,,,,,,
Neuburg a.Inn ,info@neuburg-am-inn.de,Bayern,4496,,,,,,,,,,,,,,,,,
Neuching ,info@vg-oberneuching.de,Bayern,2789,,,,,,,,,,,,,,,,,
Neudrossenfeld ,poststelle@neudrossenfeld.de,Bayern,3774,,,,,,,,,,,,,,,,,
Neuendettelsau ,rathaus@neuendettelsau.eu,Bayern,8138,,,,,,,,,,,,,,,,,
Neuendorf ,buergermeister@neuendorf-main.de,Bayern,100,,,,,,,,,,,,,,,,,
Neuenmarkt ,poststelle@neuenmarkt.de,Bayern,2957,,,,,,,,,,,,,,,,,
Neufahrn b.Freising ,poststelle@neufahrn.bayern.de,Bayern,21061,,,,,,,,,,,,,,,,,
Neufahrn i.NB ,poststelle@gemeinde-neufahrn.de,Bayern,4263,,,,,,,,,,,,,,,,,
Neufraunhofen ,info@vg-velden.de,Bayern,1052,,,,,,,,,,,,,,,,,
Neuhaus a.d.Pegnitz ,info@neuhaus-pegnitz.de,Bayern,2676,,,,,,,,,,,,,,,,,
Neuhaus a.Inn ,info@neuhaus-inn.de,Bayern,3419,,,,,,,,,,,,,,,,,
Neuhof a.d.Zenn ,markt.neuhof@vg-neuhof.de,Bayern,2181,,,,,,,,,,,,,,,,,
Neuhütten ,poststelle@vgem-partenstein.bayern.de,Bayern,721,,,,,,,,,,,,,,,,,
Neukirchen ,gemeinde@neukirchen.net,Bayern,1156,,,,,,,,,,,,,,,,,
Neukirchen b.Hl.Blut ,poststelle@neukirchen.bayern,Bayern,3641,,,,,,,,,,,,,,,,,
Neukirchen b.Sulzbach-Rosenberg ,info@vg-neukirchen.de,Bayern,2514,,,,,,,,,,,,,,,,,
Neukirchen vorm Wald ,info@neukirchen-vorm-wald.de,Bayern,2996,,,,,,,,,,,,,,,,,
Neukirchen-Balbini ,poststelle@vg-neunburg.de,Bayern,1132,,,,,,,,,,,,,,,,,
Neumarkt i.d.OPf. ,info@neumarkt.de,Bayern,41103,,,,,,,,,,,,,,,,,
Neumarkt-Sankt Veit ,info@vgnsv.de,Bayern,6334,,,,,,,,,,,,,,,,,
Neunburg vorm Wald ,rathaus.stadt@neunburg.de,Bayern,8093,,,,,,,,,,,,,,,,,
Neunkirchen ,poststelle@neunkirchen-unterfranken.de,Bayern,12705,,,,,,,,,,,,,,,,,
Neunkirchen a.Brand ,info@neunkirchen-am-brand.de,Bayern,8056,,,,,,,,,,,,,,,,,
Neunkirchen a.Sand ,info@neunkirchen-am-sand.de,Bayern,4662,,,,,,,,,,,,,,,,,
Neuötting ,poststelle@neuoetting.de,Bayern,8991,,,,,,,,,,,,,,,,,
Neureichenau ,info@neureichenau.bayern.de,Bayern,4238,,,,,,,,,,,,,,,,,
Neuried ,poststelle@neuried.de,Bayern,9919,,,,,,,,,,,,,,,,,
Neusäß ,stadt@neusaess.de,Bayern,22904,,,,,,,,,,,,,,,,,
Neuschönau ,poststelle@neuschoenau.bayern.de,Bayern,2191,,,,,,,,,,,,,,,,,
Neusitz ,info@neusitz.de,Bayern,1978,,,,,,,,,,,,,,,,,
Neusorg ,poststelle@vgem-neusorg.de,Bayern,1949,,,,,,,,,,,,,,,,,
Neustadt a.d.Aisch ,info@neustadt-aisch.de,Bayern,13294,,,,,,,,,,,,,,,,,
Neustadt a.d.Donau ,poststelle@neustadt-donau.de,Bayern,14778,,,,,,,,,,,,,,,,,
Neustadt a.d.Waldnaab ,poststelle@neustadt-waldnaab.de,Bayern,6057,,,,,,,,,,,,,,,,,
Neustadt a.Main ,buergermeister@neustadt-erlach.de,Bayern,1174,,,,,,,,,,,,,,,,,
Neustadt am Kulm ,poststelle@eschenbach-opf.de,Bayern,1160,,,,,,,,,,,,,,,,,
Neustadt b.Coburg ,poststelle@neustadt-bei-coburg.de,Bayern,14824,,,,,,,,,,,,,,,,,
Neutraubling ,info@stadt-neutraubling.de,Bayern,14224,,,,,,,,,,,,,,,,,
Niederaichbach ,info@niederaichbach.de,Bayern,4220,,,,,,,,,,,,,,,,,
Niederalteich ,poststelle@niederalteich.bayern.de,Bayern,1762,,,,,,,,,,,,,,,,,
Niederbergkirchen ,rathaus@vg-rohrbach.de,Bayern,1233,,,,,,,,,,,,,,,,,
Niederfüllbach ,fabian.leutheusser@grub-am-forst.de,Bayern,1450,,,,,,,,,,,,,,,,,
Niederlauer ,buergermeister@niederlauer.de,Bayern,1645,,,,,,,,,,,,,,,,,
Niedermurach ,poststelle@vg-oberviechtach.de,Bayern,1257,,,,,,,,,,,,,,,,,
Niedernberg ,poststelle@niedernberg.de,Bayern,4720,,,,,,,,,,,,,,,,,
Niederrieden ,poststelle@vg-boos.de,Bayern,1513,,,,,,,,,,,,,,,,,
Niederschönenfeld ,info@niederschoenenfeld.de,Bayern,1436,,,,,,,,,,,,,,,,,
Niedertaufkirchen ,rathaus@vg-rohrbach.de,Bayern,1439,,,,,,,,,,,,,,,,,
Niederviehbach ,info@niederviehbach.de,Bayern,2691,,,,,,,,,,,,,,,,,
Niederwerrn ,gemeinde@niederwerrn.de,Bayern,8331,,,,,,,,,,,,,,,,,
Niederwinkling ,info@schwarzach-vgem.de,Bayern,2930,,,,,,,,,,,,,,,,,
Nittenau ,poststelle@nittenau.de,Bayern,9145,,,,,,,,,,,,,,,,,
Nittendorf ,Markt.Nittendorf@nittendorf.de,Bayern,8920,,,,,,,,,,,,,,,,,
Nördlingen ,stadtverwaltung@noerdlingen.de,Bayern,20352,,,,,,,,,,,,,,,,,
Nonnenhorn ,rathaus@nonnenhorn.eu,Bayern,1756,,,,,,,,,,,,,,,,,
Nordendorf ,info@vg-nordendorf.de,Bayern,2599,,,,,,,,,,,,,,,,,
Nordhalben ,info@nordhalben.de,Bayern,1526,,,,,,,,,,,,,,,,,
Nordheim a.Main ,poststelle@volkach.de,Bayern,986,,,,,,,,,,,,,,,,,
Nordheim v.d.Rhön ,mail@nordheim-rhoen.de,Bayern,1046,,,,,,,,,,,,,,,,,
Nüdlingen ,poststelle@nuedlingen.de,Bayern,3861,,,,,,,,,,,,,,,,,
Nürnberg ,poststelle@stadt.nuernberg.de,Bayern,529508,,,,,,,,,,,,,,,,,
Nußdorf ,info@nussdorf-chiemgau.de,Bayern,2340,,,,,,,,,,,,,,,,,
Nußdorf a.Inn ,sekretariat@nussdorf.de,Bayern,2562,,,,,,,,,,,,,,,,,
Oberammergau ,info@gemeinde-oberammergau.de,Bayern,5132,,,,,,,,,,,,,,,,,
Oberasbach ,pki@oberasbach.de,Bayern,17647,,,,,,,,,,,,,,,,,
Oberau ,info@gemeinde-oberau.de,Bayern,3132,,,,,,,,,,,,,,,,,
Oberaudorf ,rathaus@oberaudorf.de,Bayern,5095,,,,,,,,,,,,,,,,,
Oberaurach ,gemeinde@oberaurach.de,Bayern,4053,,,,,,,,,,,,,,,,,
Oberbergkirchen ,poststelle@vgem-oberbergkirchen.bayern.de,Bayern,1741,,,,,,,,,,,,,,,,,
Oberdachstetten ,poststelle@oberdachstetten.de,Bayern,1628,,,,,,,,,,,,,,,,,
Oberding ,info@vg-oberding.de,Bayern,6251,,,,,,,,,,,,,,,,,
Oberdolling ,gemeinde.oberdolling@oberdolling.de,Bayern,1360,,,,,,,,,,,,,,,,,
Oberelsbach ,rathaus@oberelsbach.de,Bayern,2647,,,,,,,,,,,,,,,,,
Obergriesbach ,obergriesbach@vg-dasing.de,Bayern,2030,,,,,,,,,,,,,,,,,
Obergünzburg ,info@vgem-oberguenzburg.bayern.de,Bayern,6387,,,,,,,,,,,,,,,,,
Oberhaching ,info@oberhaching.de,Bayern,13318,,,,,,,,,,,,,,,,,
Oberhaid ,poststelle@oberhaid.de,Bayern,389,,,,,,,,,,,,,,,,,
Oberhausen  ,gemeinde-oberhausen@t-online.de,Bayern,213646,,,,,,,,,,,,,,,,,
Oberhausen  ,info@oberhausen-donau.de,Bayern,213646,,,,,,,,,,,,,,,,,
Oberickelsheim ,gemeinde@oberickelsheim.de,Bayern,715,,,,,,,,,,,,,,,,,
Oberkotzau ,rathaus@oberkotzau.de,Bayern,5263,,,,,,,,,,,,,,,,,
Oberleichtersbach ,poststelle@vgem-bad-brueckenau.de,Bayern,2056,,,,,,,,,,,,,,,,,
Obermaiselstein ,gemeinde@obermaiselstein.de,Bayern,1009,,,,,,,,,,,,,,,,,
Obermeitingen ,info@obermeitingen.de,Bayern,1756,,,,,,,,,,,,,,,,,
Obermichelbach ,rathaus@obermichelbach.de,Bayern,3217,,,,,,,,,,,,,,,,,
Obernbreit ,poststelle@marktbreit.de,Bayern,1659,,,,,,,,,,,,,,,,,
Obernburg a.Main ,mail@obernburg.de,Bayern,8575,,,,,,,,,,,,,,,,,
Oberndorf a.Lech ,gemeinde@oberndorf-am-lech.de,Bayern,2659,,,,,,,,,,,,,,,,,
Oberneukirchen ,poststelle@vg-polling.de,Bayern,839,,,,,,,,,,,,,,,,,
Obernzell ,poststelle@obernzell.de,Bayern,3638,,,,,,,,,,,,,,,,,
Obernzenn ,info@obernzenn.de,Bayern,2462,,,,,,,,,,,,,,,,,
Oberostendorf ,info@oberostendorf.de,Bayern,1490,,,,,,,,,,,,,,,,,
Oberottmarshausen ,gemeinde@oberottmarshausen.de,Bayern,1773,,,,,,,,,,,,,,,,,
Oberpframmern ,gemeinde@oberpframmern.de,Bayern,2467,,,,,,,,,,,,,,,,,
Oberpleichfeld ,poststelle@vgem-bergtheim.bayern.de,Bayern,1143,,,,,,,,,,,,,,,,,
Oberpöring ,poststelle@vgem-oberpoering.bayern.de,Bayern,1201,,,,,,,,,,,,,,,,,
Oberreichenbach ,poststelle.vgem@aurachtal.de,Bayern,3015,,,,,,,,,,,,,,,,,
Oberreute ,gemeinde@oberreute.de,Bayern,1654,,,,,,,,,,,,,,,,,
Oberrieden ,oberrieden@vgem-pfaffenhausen.de,Bayern,1171,,,,,,,,,,,,,,,,,
Oberroth ,poststelle@oberroth.de,Bayern,1005,,,,,,,,,,,,,,,,,
Oberscheinfeld ,digitales-rathaus@vgem.scheinfeld.de,Bayern,1047,,,,,,,,,,,,,,,,,
Oberschleißheim ,gemeinde@oberschleissheim.de,Bayern,11857,,,,,,,,,,,,,,,,,
Oberschneiding ,info@oberschneiding.de,Bayern,3290,,,,,,,,,,,,,,,,,
Oberschönegg ,poststelle@oberschoenegg.de,Bayern,1048,,,,,,,,,,,,,,,,,
Oberschwarzach ,info@oberschwarzach.de,Bayern,1423,,,,,,,,,,,,,,,,,
Oberschweinbach ,info@vgmammendorf.de,Bayern,1741,,,,,,,,,,,,,,,,,
Obersinn ,poststelle@vgem-burgsinn.bayern.de,Bayern,921,,,,,,,,,,,,,,,,,
Obersöchering ,gemeinde@obersoechering.bayern.de,Bayern,1565,,,,,,,,,,,,,,,,,
Oberstaufen ,Hauptamt@oberstaufen.info,Bayern,7654,,,,,,,,,,,,,,,,,
Oberstdorf ,hauptverwaltung@markt-oberstdorf.de,Bayern,9279,,,,,,,,,,,,,,,,,
Oberstreu ,mail@vg-mellrichstadt.de,Bayern,1482,,,,,,,,,,,,,,,,,
Obersüßbach ,info@vg-furth.de,Bayern,1664,,,,,,,,,,,,,,,,,
Obertaufkirchen ,gemeinde@obertaufkirchen.de,Bayern,2723,,,,,,,,,,,,,,,,,
Oberthulba ,poststelle@oberthulba.de,Bayern,4948,,,,,,,,,,,,,,,,,
Obertraubling ,poststelle@obertraubling.de,Bayern,8779,,,,,,,,,,,,,,,,,
Obertrubach ,gemeinde@obertrubach.de,Bayern,2177,,,,,,,,,,,,,,,,,
Oberviechtach ,rathaus@oberviechtach.de,Bayern,4905,,,,,,,,,,,,,,,,,
Obing ,rathaus@vg-obing.de,Bayern,4441,,,,,,,,,,,,,,,,,
Ochsenfurt ,buergerbuero@stadt-ochsenfurt.de,Bayern,11219,,,,,,,,,,,,,,,,,
Odelzhausen ,info@odelzhausen.de,Bayern,5671,,,,,,,,,,,,,,,,,
Oerlenbach ,oerlenbach@oerlenbach.de,Bayern,5051,,,,,,,,,,,,,,,,,
Oettingen i.Bay. ,stadt@oettingen.de,Bayern,5196,,,,,,,,,,,,,,,,,
Offenberg ,gemeinde@offenberg.bayern.de,Bayern,3334,,,,,,,,,,,,,,,,,
Offenhausen ,rathaus@offenhausen.de,Bayern,1560,,,,,,,,,,,,,,,,,
Offingen ,rathaus@offingen.de,Bayern,4336,,,,,,,,,,,,,,,,,
Ofterschwang ,gemeinde@ofterschwang.de,Bayern,2032,,,,,,,,,,,,,,,,,
Ohlstadt ,info@ohlstadt.de,Bayern,3323,,,,,,,,,,,,,,,,,
Ohrenbach ,info@ohrenbach.de,Bayern,558,,,,,,,,,,,,,,,,,
Olching ,info@olching.de,Bayern,27310,,,,,,,,,,,,,,,,,
Opfenbach ,gemeinde@opfenbach.de,Bayern,2337,,,,,,,,,,,,,,,,,
Ornbau ,rathaus@ornbau.de,Bayern,1720,,,,,,,,,,,,,,,,,
Ortenburg ,info@ortenburg.bayern.de,Bayern,7330,,,,,,,,,,,,,,,,,
Osterberg ,poststelle@osterberg-weiler.de,Bayern,919,,,,,,,,,,,,,,,,,
Osterhofen ,info@osterhofen.de,Bayern,12280,,,,,,,,,,,,,,,,,
Osterzell ,info@osterzell.de,Bayern,700,,,,,,,,,,,,,,,,,
Ostheim v.d.Rhön ,vg@ostheim.de,Bayern,3344,,,,,,,,,,,,,,,,,
Ottenhofen ,info@vg-oberneuching.de,Bayern,1953,,,,,,,,,,,,,,,,,
Ottensoos ,poststelle@ottensoos.de,Bayern,1931,,,,,,,,,,,,,,,,,
Otterfing ,gemeinde@otterfing.de,Bayern,4682,,,,,,,,,,,,,,,,,
Otting ,buergermeister@gemeinde-otting.de,Bayern,797,,,,,,,,,,,,,,,,,
Ottobeuren ,rathaus@ottobeuren.de,Bayern,8486,,,,,,,,,,,,,,,,,
Ottobrunn ,poststelle@ottobrunn.de,Bayern,22829,,,,,,,,,,,,,,,,,
Otzing ,poststelle@vgem-oberpoering.bayern.de,Bayern,1978,,,,,,,,,,,,,,,,,
Oy-Mittelberg ,gemeinde@oy-mittelberg.de,Bayern,4564,,,,,,,,,,,,,,,,,
Pähl ,gemeinde@paehl.bayern.de,Bayern,2542,,,,,,,,,,,,,,,,,
Painten ,herbert.schweiker@painten.de,Bayern,2252,,,,,,,,,,,,,,,,,
Palling ,poststelle@palling.bayern.de,Bayern,3555,,,,,,,,,,,,,,,,,
Pappenheim ,stadtpappenheim@pappenheim.de,Bayern,3942,,,,,,,,,,,,,,,,,
Parkstein ,info@parkstein.de,Bayern,2379,,,,,,,,,,,,,,,,,
Parkstetten ,gemeinde@parkstetten.de,Bayern,3323,,,,,,,,,,,,,,,,,
Parsberg ,verwaltung@parsberg.de,Bayern,7818,,,,,,,,,,,,,,,,,
Partenstein ,poststelle@vgem-partenstein.bayern.de,Bayern,2689,,,,,,,,,,,,,,,,,
Passau ,poststelle@passau.de,Bayern,53039,,,,,,,,,,,,,,,,,
Pastetten ,info@pastetten.de,Bayern,2818,,,,,,,,,,,,,,,,,
Patersdorf ,poststelle@patersdorf.de,Bayern,1721,,,,,,,,,,,,,,,,,
Paunzhausen ,gemeinde@paunzhausen.de,Bayern,1605,,,,,,,,,,,,,,,,,
Pechbrunn ,poststelle@mitterteich.de,Bayern,1287,,,,,,,,,,,,,,,,,
Pegnitz ,stadt@pegnitz.de,Bayern,13665,,,,,,,,,,,,,,,,,
Peißenberg ,poststelle@peissenberg.de,Bayern,13148,,,,,,,,,,,,,,,,,
Peiting ,poststelle@peiting.bayern.de,Bayern,11798,,,,,,,,,,,,,,,,,
Pemfling ,poststelle@pemfling.de,Bayern,2161,,,,,,,,,,,,,,,,,
Pentling ,info@pentling.de,Bayern,6328,,,,,,,,,,,,,,,,,
Penzberg ,poststelle@penzberg.de,Bayern,17028,,,,,,,,,,,,,,,,,
Penzing ,info@penzing.de,Bayern,4321,,,,,,,,,,,,,,,,,
Perach ,poststelle@reischach.de,Bayern,1326,,,,,,,,,,,,,,,,,
Perasdorf ,info@schwarzach-vgem.de,Bayern,526,,,,,,,,,,,,,,,,,
Perkam ,info@vgem-rain.de,Bayern,1605,,,,,,,,,,,,,,,,,
Perlesreut ,poststelle@perlesreut.de,Bayern,2863,,,,,,,,,,,,,,,,,
Petersaurach ,rathaus@petersaurach.de,Bayern,5000,,,,,,,,,,,,,,,,,
Petersdorf ,info@petersdorf.de,Bayern,1752,,,,,,,,,,,,,,,,,
Petershausen ,info@petershausen.de,Bayern,6353,,,,,,,,,,,,,,,,,
Pettendorf ,gemeinde@pettendorf.de,Bayern,3438,,,,,,,,,,,,,,,,,
Petting ,info@gemeinde-petting.de,Bayern,2250,,,,,,,,,,,,,,,,,
Pettstadt ,gemeinde@pettstadt.de,Bayern,2238,,,,,,,,,,,,,,,,,
Pfaffenhausen ,vzim-markt@vgem-pfaffenhausen.de,Bayern,2659,,,,,,,,,,,,,,,,,
Pfaffenhofen a.d.Glonn ,info@pfaffenhofen-glonn.de,Bayern,2328,,,,,,,,,,,,,,,,,
Pfaffenhofen a.d.Ilm ,zentrale@stadt-pfaffenhofen.de,Bayern,26996,,,,,,,,,,,,,,,,,
Pfaffenhofen a.d.Roth ,rathaus@vg-pfaffenhofen.de,Bayern,7311,,,,,,,,,,,,,,,,,
Pfaffing ,poststelle@vgem-pfaffing.de,Bayern,4104,,,,,,,,,,,,,,,,,
Pfakofen ,info@vg-alteglofsheim.de,Bayern,1615,,,,,,,,,,,,,,,,,
Pfarrkirchen ,poststelle@pfarrkirchen.de,Bayern,12764,,,,,,,,,,,,,,,,,
Pfarrweisach ,info@ebern.de,Bayern,1447,,,,,,,,,,,,,,,,,
Pfatter ,gemeinde.pfatter@realrgb.de,Bayern,3119,,,,,,,,,,,,,,,,,
Pfeffenhausen ,poststelle@markt-pfeffenhausen.de,Bayern,5441,,,,,,,,,,,,,,,,,
Pförring ,poststelle@vg-pfoerring.de,Bayern,4150,,,,,,,,,,,,,,,,,
Pfofeld ,poststelle@vggunzenhausen.de,Bayern,1470,,,,,,,,,,,,,,,,,
Pforzen ,info@pforzen.bayern.de,Bayern,2404,,,,,,,,,,,,,,,,,
Pfreimd ,info@pfreimd.de,Bayern,4943,,,,,,,,,,,,,,,,,
Pfronten ,poststelle@pfronten.bayern.de,Bayern,7687,,,,,,,,,,,,,,,,,
Philippsreut ,poststelle@philippsreut.de,Bayern,618,,,,,,,,,,,,,,,,,
Piding ,gemeinde@piding.de,Bayern,5284,,,,,,,,,,,,,,,,,
Pielenhofen ,info@vg-pielenhofen-wolfsegg.de,Bayern,1661,,,,,,,,,,,,,,,,,
Pilsach ,info@vg-neumarkt.de,Bayern,2860,,,,,,,,,,,,,,,,,
Pilsting ,info@pilsting.de,Bayern,7158,,,,,,,,,,,,,,,,,
Pinzberg ,poststelle@vg-gosberg.de,Bayern,1951,,,,,,,,,,,,,,,,,
Pirk ,gemeinde-pirk@t-online.de,Bayern,1936,,,,,,,,,,,,,,,,,
Pittenhart ,rathaus@vg-obing.de,Bayern,1899,,,,,,,,,,,,,,,,,
Planegg ,gemeinde@planegg.de,Bayern,11007,,,,,,,,,,,,,,,,,
Plankenfels ,plankenfels@vg-hollfeld.bayern.de,Bayern,840,,,,,,,,,,,,,,,,,
Plattling ,poststelle@plattling.bayern.de,Bayern,13160,,,,,,,,,,,,,,,,,
Plech ,poststelle@vgem-betzenstein.bayern.de,Bayern,1350,,,,,,,,,,,,,,,,,
Pleinfeld ,mail@pleinfeld.de,Bayern,7350,,,,,,,,,,,,,,,,,
Pleiskirchen ,gemeinde@pleiskirchen.de,Bayern,2454,,,,,,,,,,,,,,,,,
Pleß ,poststelle@vg-boos.de,Bayern,2500,,,,,,,,,,,,,,,,,
Pleystein ,poststelle@pleystein.de,Bayern,2368,,,,,,,,,,,,,,,,,
Pliening ,post@pliening.de,Bayern,5910,,,,,,,,,,,,,,,,,
Plößberg ,poststelle@ploessberg.de,Bayern,3159,,,,,,,,,,,,,,,,,
Pocking ,info@pocking.de,Bayern,5589,,,,,,,,,,,,,,,,,
Pöcking ,rathaus@poecking.de,Bayern,5589,,,,,,,,,,,,,,,,,
Pörnbach ,info@poernbach.de,Bayern,2209,,,,,,,,,,,,,,,,,
Pösing ,poststelle@poesing.de,Bayern,1012,,,,,,,,,,,,,,,,,
Pöttmes ,poststelle@vg-poettmes.de,Bayern,7012,,,,,,,,,,,,,,,,,
Poing ,post@poing.de,Bayern,16585,,,,,,,,,,,,,,,,,
Pollenfeld ,poststelle@vg-eichstaett.de,Bayern,3056,,,,,,,,,,,,,,,,,
Polling  ,gemeindeverwaltung@polling.de,Bayern,3315,,,,,,,,,,,,,,,,,
Polling  ,poststelle@vg-polling.de,Bayern,3315,,,,,,,,,,,,,,,,,
Polsingen ,info@polsingen.de,Bayern,1775,,,,,,,,,,,,,,,,,
Pommelsbrunn ,info@pommelsbrunn.de,Bayern,5242,,,,,,,,,,,,,,,,,
Pommersfelden ,info@pommersfelden.de,Bayern,3102,,,,,,,,,,,,,,,,,
Poppenhausen ,info@poppenhausen.de,Bayern,4371,,,,,,,,,,,,,,,,,
Poppenricht ,gemeindeverwaltung@poppenricht.de,Bayern,3360,,,,,,,,,,,,,,,,,
Postau ,info@vg.woerth-isar.de,Bayern,1695,,,,,,,,,,,,,,,,,
Postbauer-Heng ,markt@postbauer-heng.de,Bayern,7912,,,,,,,,,,,,,,,,,
Postmünster ,poststelle@postmuenster.de,Bayern,2419,,,,,,,,,,,,,,,,,
Pottenstein ,poststelle@pottenstein.bayern.de,Bayern,5190,,,,,,,,,,,,,,,,,
Poxdorf ,info@effeltrich.de,Bayern,1568,,,,,,,,,,,,,,,,,
Prackenbach ,poststelle@prackenbach.de,Bayern,2759,,,,,,,,,,,,,,,,,
Prebitz ,poststelle@vgem-creussen.bayern.de,Bayern,938,,,,,,,,,,,,,,,,,
Prem ,poststelle@gemeinde-prem.de,Bayern,943,,,,,,,,,,,,,,,,,
Pressath ,poststelle@pressath.de,Bayern,4217,,,,,,,,,,,,,,,,,
Presseck ,poststelle@presseck.de,Bayern,1681,,,,,,,,,,,,,,,,,
Pressig ,info@pressig.de,Bayern,3843,,,,,,,,,,,,,,,,,
Pretzfeld ,info@pretzfeld.de,Bayern,2359,,,,,,,,,,,,,,,,,
Prichsenstadt ,poststelle@prichsenstadt.de,Bayern,3032,,,,,,,,,,,,,,,,,
Prien a.Chiemsee ,info@prien.de,Bayern,10915,,,,,,,,,,,,,,,,,
Priesendorf ,poststelle@vg-lisberg.de,Bayern,1469,,,,,,,,,,,,,,,,,
Prittriching ,poststelle@vgprittriching.de,Bayern,2630,,,,,,,,,,,,,,,,,
Prosselsheim ,post@vgem-estenfeld.bayern.de,Bayern,1130,,,,,,,,,,,,,,,,,
Prutting ,info@prutting.de,Bayern,2934,,,,,,,,,,,,,,,,,
Puchheim ,info@puchheim.de,Bayern,20858,,,,,,,,,,,,,,,,,
Püchersreuth ,poststelle@vgem-neustadt.de,Bayern,1701,,,,,,,,,,,,,,,,,
Pürgen ,buergermeister@puergen.de,Bayern,3659,,,,,,,,,,,,,,,,,
Pullach i.Isartal ,info@pullach.de,Bayern,8601,,,,,,,,,,,,,,,,,
Pullenreuth ,poststelle@vgem-neusorg.de,Bayern,1546,,,,,,,,,,,,,,,,,
Puschendorf ,gemeinde@puschendorf.de,Bayern,2195,,,,,,,,,,,,,,,,,
Putzbrunn ,info@putzbrunn.de,Bayern,6845,,,,,,,,,,,,,,,,,
Pyrbaum ,info@pyrbaum.de,Bayern,5872,,,,,,,,,,,,,,,,,
Rain ,info@vgem-rain.de,Bayern,2969,,,,,,,,,,,,,,,,,
Rain ,info@rain.de,Bayern,2969,,,,,,,,,,,,,,,,,
Raisting ,gemeinde@raisting.bayern.de,Bayern,2365,,,,,,,,,,,,,,,,,
